Timestamp (ns),raw,QUAT W,QUAT X,QUAT Y,QUAT Z,ACCEL X,ACCEL Y,ACCEL Z,GYRO X,GYRO Y,GYRO Z
1599834795905763145,410e7dfd230039ff9bffe03f900531fab6ff5cfa,16654,32253,8960,14847,-25601,-8129,-28667,12794,-18689,23802
1599834795942743828,0e88fd8d0046008dffe13f8d0584faddff50f9ea,3720,-627,70,141,-31,16269,1412,-1315,-176,-1558
1599834795950203641,0e8ffd79002f00bbffdc3f8d058dfaeaff4ff9e6,3727,-647,47,187,-36,16269,1421,-1302,-177,-1562
1599834795952139954,fb2e0e7afdb10074ff75ff9f3f8806f0fcfffe86,-1234,3706,-591,116,-139,-97,16264,1776,-769,-378
1599834795987703153,fb280e4bfdda006bff45ff973f8706fbfcf9fe80,-1240,3659,-550,107,-187,-105,16263,1787,-775,-384
1599834795989069022,fb030deffdde0060ff34ff903f850705fcf3fe79,-1277,3567,-546,96,-204,-112,16261,1797,-781,-391
1599834795991014206,facb0dcbfdb10047ff3eff893f84070efceffe72,-1333,3531,-591,71,-194,-119,16260,1806,-785,-398
1599834796033466153,fac90d9ffde2002fff57ff7f3f830716fcedfe6b,-1335,3487,-542,47,-169,-129,16259,1814,-787,-405
1599834796037866030,0d9dfda2ffc50097ff383f800732fd0efe42fad4,3485,-606,-59,151,-200,16256,1842,-754,-446,-1324
1599834796039915480,0da2fd94ffb600d2ff2c3f800736fd1dfe39fae2,3490,-620,-74,210,-212,16256,1846,-739,-455,-1310
1599834796122817562,2d0e57fd43001c0063ffea3f510923ff10fe72fa,11534,22525,17152,7168,25599,-5569,20745,9215,4350,29434
1599834796127921919,510e5efd4500130065ffe33f50092bff17fe71fa,20750,24317,17664,4864,26111,-7361,20489,11263,6142,29178
1599834796130002383,440e69fd5400100067ffda3f4f0933ff1ffe6ffa,17422,27133,21504,4096,26623,-9665,20233,13311,8190,28666
1599834796131948133,350e74fd5a000d0067ffd03f4e093aff26fe6dfa,13582,29949,23040,3328,26623,-12225,19977,15103,9982,28154
1599834796167831018,4a0e74fd60000b006affc73f4d0942ff2efe6afa,18958,29949,24576,2816,27391,-14529,19721,17151,12030,27386
1599834796169048667,400e7dfd72000d0066ffbe3f4c094aff35fe67fa,16398,32253,29184,3328,26367,-16833,19465,19199,13822,26618
1599834796170182316,480e7afd49000e005fffba3f4a0952ff3bfe64fa,18446,31485,18688,3584,24575,-17857,18953,21247,15358,25850
1599834796212827438,5f0e5bfd5400210024ffb53f46096cff49fe5afa,24334,23549,21504,8448,9471,-19137,17929,27903,18942,23290
1599834796215975636,480e59fd370024000cffb23f450975ff4cfe57fa,18446,23037,14080,9216,3327,-19905,17673,30207,19710,22522
1599834796217890239,3c0e44fd3e00240000ffb73f44097dff4efe53fa,15374,17661,15872,9216,255,-18625,17417,32255,20222,21498
1599834796258535081,4b0e4ffd2e0022fff3ffb73f420986ff50fe50fa,19214,20477,11776,8959,-3073,-18625,16905,-30977,20734,20730
1599834796260825818,42fa390ea6fd4500170013ffd13f3a09b8ff63fe,17146,14606,-22787,17664,5888,5119,-11969,14857,-18177,25598
1599834796262780570,40fa390ea8fd5a001b001affd73f3909c1ff67fe,16634,14606,-22275,23040,6912,6911,-10433,14601,-15873,26622
1599834796303048422,3efa290eb6fd0e00230019ffd33f3809caff6bfe,16122,10510,-18691,3584,8960,6655,-11457,14345,-13569,27646
1599834796307208061,3cfa490ea7fd22002d001effd23f3609d4ff6ffe,15610,18702,-22531,8704,11520,7935,-11713,13833,-11009,28670
1599834796348503627,3afa470e9dfcf700350021ffd23f3509deff74fe,15098,18190,-25092,-2304,13568,8703,-11713,13577,-8449,29950
1599834796351479538,fa780eb8fd240044ffecffd33f2c0a10ff80fe2c,-1416,3768,-732,68,-20,-45,16172,2576,-128,-468
1599834796392838031,fa800ea4fd150044ffd3ffd03f2b0a1aff80fe29,-1408,3748,-747,68,-45,-48,16171,2586,-128,-471
1599834796398768532,fa6e0ea5fd16004affbdffce3f290a25ff7ffe26,-1426,3749,-746,74,-67,-50,16169,2597,-129,-474
1599834796437884619,fe10fa2e0e98fd1d002fffebffb53f1d0a6aff81,-496,-1490,3736,-739,47,-21,-75,16157,2666,-127
1599834796439279726,fe0cfa360e97fcf1002c0007ffb43f1b0a72ff85,-500,-1482,3735,-783,44,7,-76,16155,2674,-123
1599834796536459478,fe09fa4d0eabfcf400210021ffb33f1a0a7bff8a,-503,-1459,3755,-780,33,33,-77,16154,2683,-118
1599834796538359461,640e77fcd80034ff79ffb43f000b06ff90fdb9fa,25614,30716,-10240,13567,31231,-19393,11,1791,-28419,-17926
1599834796539388747,650e77fcb70032ff84ffba3efe0b10ff8efdb5fa,25870,30716,-18688,13055,-31489,-17858,-501,4351,-28931,-18950
1599834796617888181,590e6efcf10038ff95ffbf3efc0b19ff8dfdb2fa,22798,28412,-3840,14591,-27137,-16578,-1013,6655,-29187,-19718
1599834796624618556,570e6cfcdc003bffa2ffc53efa0b23ff8dfdaefa,22286,27900,-9216,15359,-23809,-15042,-1525,9215,-29187,-20742
1599834796626427609,fa780e5efcb300430009ffda3eef0b5dff98fda0,-1416,3678,-845,67,9,-38,16111,2909,-104,-608
1599834796662767099,fa8f0e42fcdf0043000cffdd3eed0b67ff9bfd9e,-1393,3650,-801,67,12,-35,16109,2919,-101,-610
1599834796664977113,fa9f0e39fce30042000effdf3eec0b71ff9ffd9d,-1377,3641,-797,66,14,-33,16108,2929,-97,-611
1599834796666088296,fa8c0e2ffcde00420012ffe63eea0b7bffa2fd9c,-1396,3631,-802,66,18,-26,16106,2939,-94,-612
1599834796668049883,0e21fcbd0039001b00083edf0bb4ffb5fd9afa79,3617,-835,57,27,8,16095,2996,-75,-614,-1415
1599834796752842973,3edc0bc6ffbefd9dfa7f0e41fcad002e0042001d,16092,3014,-66,-611,-1409,3649,-851,46,66,29
1599834796755082506,3eda0bcfffc4fd9ffa710e60fc9c002d005b0026,16090,3023,-60,-609,-1423,3680,-868,45,91,38
1599834796757017468,3ecc0c1ffff7fdb1fade0ec1fc89005900210033,16076,3103,-9,-591,-1314,3777,-887,89,33,51
1599834796797860400,3eca0c2bfff8fdb3fab20ebefc94006400000035,16074,3115,-8,-589,-1358,3774,-876,100,0,53
1599834796804278380,3eb60c910003fdc5fa660e9dfc6a008d00370048,16054,3217,3,-571,-1434,3741,-918,141,55,72
1599834796806183650,3eb40c9e0008fdc8fa670e9dfc8e008d004b004b,16052,3230,8,-568,-1433,3741,-882,141,75,75
1599834796851569956,3e9d0d110035fde0fae50e80fc4400bd001d002f,16029,3345,53,-544,-1307,3712,-956,189,29,47
1599834796852567365,3e9a0d200036fde1fac80e74fc6b00c5ffe7002a,16026,3360,54,-543,-1336,3700,-917,197,-25,42
1599834796932862720,3e7d0da6000dfdddfa2f0e6cfc8d00f2ff69001f,15997,3494,13,-547,-1489,3692,-883,242,-151,31
1599834796940220472,3e790db70009fdddfa2d0e5afc9700f3ff89001b,15993,3511,9,-547,-1491,3674,-873,243,-119,27
1599834796941310009,3e5a0e420021fde0f98c0e7bfc7b00f70082fff9,15962,3650,33,-544,-1652,3707,-901,247,130,-7
1599834796942524780,3e560e53002bfde0f9810e75fc7000f700a1ffe8,15958,3667,43,-544,-1663,3701,-912,247,161,-24
1599834796977916092,3e320ee60080fdb6f9a20e9afc7301160022fefd,15922,3814,128,-586,-1630,3738,-909,278,34,-259
1599834796978620045,270ed3fca40120ff73fde03e0c0f6a0094fd27f7,9998,-11268,-23551,8447,29693,-8130,3087,27136,-27395,10231
1599834797031516963,3e000f8e009efce4f7630f23fd690105ff80fcf3,15872,3982,158,-796,-2205,3875,-663,261,-128,-781
1599834797032510601,3df90f9e00a7fcbdf71a0f02fd7d00e9ffa6fc9c,15865,3998,167,-835,-2278,3842,-643,233,-90,-868
1599834797077393887,3dce0fcd01f4fb41f55a0efcfdb7fed70524f9e3,15822,4045,500,-1215,-2726,3836,-585,-297,1316,-1565
1599834797079348632,f4b20f32fe1ffda40a87f6f53d870f810557f991,-2894,3890,-481,-604,2695,-2315,15751,3969,1367,-1647
1599834797112782856,3d630f540687f8eff4e60f25fe82fcf30ab5f526,15715,3924,1671,-1809,-2842,3877,-382,-781,2741,-2778
1599834797113487053,3d4f0f37071df894f4ef0f48fea0fcaf0a73f48c,15695,3895,1821,-1900,-2833,3912,-352,-849,2675,-2932
1599834797202891210,3c1b0dbe0d5af53df1af0ff4fe54fa071431ef76,15387,3518,3418,-2755,-3665,4084,-428,-1529,5169,-4234
1599834797206347848,3bd20d830e75f4ccf2150ff7fe28f9b3157deebc,15314,3459,3701,-2868,-3563,4087,-472,-1613,5501,-4420
1599834797207428093,387c0aef176df09bf10f0e88fd39f88d15ebe9c2,14460,2799,5997,-3941,-3825,3720,-711,-1907,5611,-5694
1599834797247792013,37ed0a891889f009f1430e5dfcbcf85c162ce948,14317,2697,6281,-4087,-3773,3677,-836,-1956,5676,-5816
1599834797248484034,325106c020d5eb03f1210caaf90ff93813cde4aa,12881,1728,8405,-5373,-3807,3242,-1777,-1736,5069,-6998
1599834797252316957,317e063621bcea53f0f60c5ff8c4f95013b7e44c,12670,1590,8636,-5549,-3850,3167,-1852,-1712,5047,-7092
1599834797293610638,295d020f289ae4f1f33d0ae5f6dafb44163de246,10589,527,10394,-6927,-3267,2789,-2342,-1212,5693,-7610
1599834797296383034,283401872955e446f37e0a65f6cdfbc01584e1ed,10292,391,10581,-7098,-3202,2661,-2355,-1088,5508,-7699
1599834797337852933,1f0bfcf42d3bdf2ef16f074af56dfde50efbe284,7947,-780,11579,-8402,-3729,1866,-2707,-539,3835,-7548
1599834797427748270,1df1fc5b2d86dea0f1fc079af52cfe050e6ee2db,7665,-933,11654,-8544,-3588,1946,-2772,-507,3694,-7461
1599834797435447626,15abf7242e6bdaacf2c605d8f2c0ff9b0777e31d,5547,-2268,11883,-9556,-3386,1496,-3392,-101,1911,-7395
1599834797437244829,14bef6662e5ada40f24e05c7f2a4ffba061ee337,5310,-2458,11866,-9664,-3506,1479,-3420,-70,1566,-7369
1599834797475247080,0efeef642c74d7c3ef21047bf6390067fb6ce408,3838,-4252,11380,-10301,-4319,1147,-2503,103,-1172,-7160
